what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392054551490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392054566647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392054570105
opened,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1392054570924
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1392054570975
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1392054598438
started,bundle,com.google.gdt.eclipse.suite,3.0.1.v201206290132-rel-r37,"com.google.gdt.eclipse.suite",1392054617213
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1392054617271
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1392054617463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392055292456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392055349412
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1392055349451
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392055358597
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392055366036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392055367852
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1392055367861
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1392055394400
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392055418629
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392055418758
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1392055430169
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392055431613
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392055431703
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392055496404
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392055511460
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1392055555075
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1392055555209
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392055558273
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392055558345
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392055585988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392055978287
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1392056002225
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.0.v201105180000,"org.eclipse.jpt.jaxb.ui",1392056002328
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1392056002446
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1392056002602
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1392056002652
started,bundle,org.eclipse.pde.api.tools,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools",1392056002878
started,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1392056002881
started,bundle,org.eclipse.jpt.jaxb.core,1.0.0.v201105240000,"org.eclipse.jpt.jaxb.core",1392056003711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392056003945
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056018499
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1392056048674
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056050744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392056054800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392056065314
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056067009
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056078403
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1392056078411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1392056079813
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1392056116031
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056391189
no handler,command,org.eclipse.wb.core,1.5.0.r37x201206111201,"org.eclipse.wb.core.commands.switch",1392056395887
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056400215
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1392056408034
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1392056455182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1392056456613
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392056469017
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392056476388
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056479566
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056483454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392056490244
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392056505548
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056507307
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1392056510215
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056510929
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1392056558056
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392056605000
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056618715
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1392056627338
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056628039
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1392056643827
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1392056664559
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392056664813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392056826144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392056828800
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1392056949405
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392056950041
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392056994156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392057455928
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392057491220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392057496895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058027972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1392058041029
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1392058045615
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392058046150
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1392058050886
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392058051658
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058120082
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1392058121503
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058121503
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058121581
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058121605
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058121615
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058121638
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058126209
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058127351
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1392058127366
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1392058159273
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1392058164976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058165309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058167193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058170170
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058216126
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1392058216274
started,bundle,org.eclipse.wb.os,1.5.0.r37x201206111201,"org.eclipse.wb.os",1392058217788
started,bundle,org.eclipse.wb.os.win32,1.5.0.r37x201206111201,"org.eclipse.wb.os.win32",1392058217802
started,bundle,com.android.ide.eclipse.gldebugger,22.2.1.v201309180102-833290,"com.android.ide.eclipse.gldebugger",1392058231542
opened,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.DeviceView",1392058231628
opened,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.ThreadView",1392058231675
activated,perspective,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.Perspective",1392058231704
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1392058231744
executed,command,,,"com.android.ide.eclipse.ddms.Perspective",1392058231744
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.DeviceView",1392058232712
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1392058238073
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1392058238078
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1392058246756
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058256656
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058256806
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1392058275240
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058275443
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058275528
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058301306
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392058319127
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392058326291
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1392058336792
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392058337372
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058353575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058354857
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1392058354869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058364025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058384895
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1392058413330
activated,perspective,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.Perspective",1392058429124
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.DeviceView",1392058430559
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1392058434097
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058434112
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1392058507105
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1392058512625
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058512804
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058512888
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1392058531368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058534298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058535493
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1392058535507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058545598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058547343
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058548796
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1392058586582
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392058739740
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392058747511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392059058173
